1:1	Man njiit li maa leen di bind, yaw soxna su tedd si, yaw ak say doom. Bëgg naa leen bu wér ci sama xol, jéllale naa sama bopp sax, waaye itam képp ku xam dëgg gi.
1:2	Te dëgg gee tax nuy def noonu, dëgg gi dëkk ci nun, tey ànd ak nun ba fàww.
1:3	Yàlla Baay bi ak Yeesu Krist, Doomu Baay bi, dinañu nu may yiw, yërmande ak jàmm, ànd ak dëgg ak mbëggeel.
1:4	Gis naa ci say doom, ñuy jaar ci tànki dëgg, ni nu ko Baay bi digale, te bég naa ci lool.
1:5	Léegi nag soxna si, maa ngi lay dénk lii: nun ñépp nanu bëggante, te loolu du dénkaane bu bees, waaye moom lanu jotoon ca njàlbéen ga.
1:6	Lii mooy mbëggeel: nu wéer sunug dund ci ndigali Yàlla; loolu mooy ndigalam, la nu jotoon ca njàlbeen ga, te ci lanu wara jaar.
1:7	Maa ngi wax loolu nag, ndaxte am na ñuy sànke ñu bare, ñu tasaaroo ci àddina si, te nanguwuñu ne Yeesu Krist wàcc na, nekk nit. Kooku aji sànke la, di Bañaaleb Krist.
1:8	Kon moytuleen, ngir baña ñàkk seen añub coono, waaye ngeen am yool bu mat sëkk.
1:9	Képp ku saxul ci dénkaaney Krist, xanaa di ko weesu, bokkul ci Yàlla; ku sax ci dénkaane yi, bokk nga ak Baay bi ak Doom ji.
1:10	Ku ñëw fi yaw, te indaalewul dénkaane yooyu, waxuma nga bañ koo teeru rekk, waaye bu ko nuyu sax.
1:11	Ku ko nuyu, bokk nga ciy ñaawteefam.
1:12	Bëggoon naa leena wax lu bare ci bataaxel bii, waaye lépp xajul ci kayit. Kon nag fas naa yéenee ñëw, ba jàkkaarlook yeen, nu waxtaan ci, ngir sunu mbég mat sëkk.
1:13	Say doomi rakk, ji Yàlla tànn, ñu ngi lay nuyu.
